,date,quality_of_life,age,Euro95(€/L),Diesel(€/L),Lpg(€/L),Open,High,Low,Close,adj_close,Volume,Consumer_trust,Economic_climate,Buy_willingness,annual_rate_of_change,annual_rate_of_change_derived,rolling_mean_AEX,news_sentiment,wind_gust,min_temp,avg_temp,max_temp,sunshine_duration,max_potential_sunshine_duration,precipitation_duration,max_precipitation_amount,max_humidity,min_humidity,stringency_index,icu_patients,daily_hospitalization,reproduction_rate,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,counts_per_day,sunrise,sunset,daylight_hours,14day_rollling_avg_temp,14day_rollling_hospitalization
16,4/21/2020,7.332248819,55.9142142,1.468,1.223,0.548,506.0599976,506.9200134,495.6199951,495.7600098,495.7600098,130167800,,,,,,502.2550011,-0.625973821,16,6.1,12.25,18.4,13.4,94,0,0,64,30,78.7,1087,2157,0.82,708,165,34909,3926,,,,,13184,6.333333333,20.75,14.41666667,9.385714286,2432.142857
17,4/22/2020,7.314392138,55.81470817,1.465,1.219,0.542,500.6700134,510.3200073,499.6300049,509.6199951,509.6199951,108351300,,,,,,503.3687515,-0.628385723,14,6.8,13.5,20.2,13.4,93,0,0,72,30,78.7,1050,2069,0.78,891,139,35800,4065,,,,,12850,6.3,20.76666667,14.46666667,9.4,2375.357143
18,4/23/2020,7.349753695,56.66330557,1.459,1.214,0.545,509.9299927,517.3499756,504.9200134,512.7299805,512.7299805,118200200,,,,,,503.954998,-0.634040058,8,5.4,13.95,22.5,12.6,87,0,0,83,26,78.7,1008,1856,0.73,808,124,36608,4189,,,,,4562,6.266666667,20.8,14.53333333,9.671428571,2312.714286
19,4/24/2020,7.44233871,55.50632911,1.458,1.211,0.544,503.5599976,511.9599915,502.4200134,504.9400024,504.9400024,119262600,,,,,,504.064443,-0.656232059,11,6.7,11.65,16.6,9,62,0,0,89,42,78.7,963,1765,0.7,655,112,37263,4301,,,,,2528,6.233333333,20.83333333,14.6,9.942857143,2247.714286
20,4/25/2020,7.352024922,55.52711761,,,,,,,,,,,,,,,504.064443,-0.650054276,9,0.9,7.55,14.2,9.2,63,0,0,95,54,78.7,959,1746,0.68,655,120,37918,4421,,,,,1641,6.183333333,20.86666667,14.68333333,9.692857143,2180.642857
21,4/26/2020,7.343770819,55.64817232,,,,,,,,,,,,,,,504.064443,-0.644084394,5,-0.2,7.25,14.7,8.3,57,0,0,96,50,78.7,934,1704,0.64,401,67,38319,4488,,,,,1532,6.15,20.9,14.75,9.353571429,2121.5
22,4/27/2020,7.333643123,54.60762943,1.458,1.202,0.542,513.039978,514.6599731,509.6000061,512.1900024,512.1900024,92161200,,,,,,504.8769989,-0.644069731,11,2.7,11.6,20.5,12.3,84,0,0,94,31,78.7,905,1626,0.61,171,43,38490,4531,,,,,1101,6.116666667,20.91666667,14.8,9.7,2065.142857
23,4/28/2020,7.390171949,56.27645842,1.458,1.202,0.543,512.9099731,521.5700073,512.1500244,519.9699707,519.9699707,139089700,,,,,,506.0999969,-0.630218983,9,6.8,8.85,10.9,0.7,5,3.8,0.5,97,69,78.7,861,1569,0.61,387,48,38877,4579,,,,,12085,6.083333333,20.95,14.86666667,10,2006.428571
24,4/29/2020,7.306962025,56.21147541,1.455,1.199,0.529,519.8900146,527.5499878,518.5,526.960022,526.960022,129156700,,,,,,509.6829987,-0.621644616,12,7,10.2,13.4,2.7,18,5.3,0.6,97,67,78.7,804,1575,0.61,514,145,39391,4724,,,,,12200,6.05,20.98333333,14.93333333,10.14642857,1950.714286
25,4/30/2020,7.321979866,56.58546622,1.455,1.198,0.533,527.3099976,528.6900024,511.7600098,512.9199829,512.9199829,195572600,,,,,,511.3669983,-0.614399374,18,8.4,12.2,16,6.8,46,1.8,0.6,90,46,78.7,783,1471,0.62,475,84,39866,4808,,,,,12151,6.016666667,21.01666667,15,10.44285714,1886
26,5/1/2020,7.281269841,56.70474407,,,,,,,,,,-31,-52,-17,1.2,1.1,511.9833306,-0.620657444,18,6.6,9.55,12.5,4.4,29,4.8,3.5,93,70,78.7,735,1468,0.62,446,98,40312,4906,,,,,4806,5.983333333,21.05,15.06666667,10.65357143,1827.571429
27,5/2/2020,7.337681159,55.62938389,,,,,,,,,,,,,,,511.9833306,-0.615858734,11,4.2,9,13.8,5.6,37,0.2,0.1,97,63,78.7,708,1494,0.62,335,94,40647,5000,,,,,2110,5.95,21.06666667,15.11666667,10.58571429,1772.428571
28,5/3/2020,7.367035282,55.52799178,,,,,,,,,,,,,,,511.9833306,-0.628127337,6,5.1,9.95,14.8,3.3,22,0,-0.1,97,57,78.7,688,1380,0.63,199,69,40846,5069,,,,,1947,5.916666667,21.1,15.18333333,10.53928571,1717.5
29,5/4/2020,7.353987012,56.28774031,1.461,1.202,0.548,496.5400085,498.8099976,490.7900085,496.3099976,496.3099976,177307300,,,,,,510.1555515,-0.628596067,10,2,7.9,13.8,9.3,61,0,0,98,52,78.7,683,1333,0.66,317,26,41163,5095,,,,,9519,5.883333333,21.13333333,15.25,10.38571429,1658.071429
30,5/5/2020,7.369440527,56.81957951,1.457,1.199,0.523,503.8500061,511.0100098,499.7399902,509.8299866,509.8299866,126447600,,,,,,511.7188822,-0.620261967,9,-1.1,5.85,12.8,13,85,0,0,97,47,78.7,644,1333,0.65,232,87,41395,5182,,,,,10797,5.85,21.16666667,15.31666667,9.928571429,1599.214286
31,5/6/2020,7.422758372,56.38003192,1.456,1.199,0.539,509.2399902,510.8699951,505.1499939,505.5499878,505.5499878,115416600,,,,,,511.2666592,-0.619179845,8,-1.4,6.55,14.5,14,92,0,0,98,39,78.7,628,1352,0.67,455,36,41850,5218,,,,,11278,5.816666667,21.18333333,15.36666667,9.432142857,1548
32,5/7/2020,7.455741127,56.85608856,1.46,1.201,0.542,508.8599854,516.2600098,508.2000122,516.2600098,516.2600098,96260200,,,,,,511.6588847,-0.635061264,5,-1.1,8.6,18.3,14,91,0,0,98,33,78.7,584,1286,0.65,319,84,42169,5302,,,,,4878,5.8,21.21666667,15.41666667,9.05,1507.285714
33,5/8/2020,7.423976608,56.60405461,1.463,1.202,0.541,520.2999878,521.6099854,517.3699951,520.5700073,520.5700073,85734600,,,,,,513.3955519,-0.651165128,6,1.1,11.4,21.7,13.8,90,0,0,98,37,78.7,564,1189,0.64,289,71,42458,5373,,,,,2417,5.766666667,21.25,15.48333333,9.032142857,1466.142857
34,5/9/2020,7.441579371,56.50357995,,,,,,,,,,,,,,,513.3955519,-0.655828595,9,7.4,15.25,23.1,14.1,91,0,0,98,36,78.7,541,1132,0.64,245,64,42703,5437,,,,,1257,5.733333333,21.26666667,15.53333333,9.582142857,1422.285714
35,5/10/2020,7.463439233,56.6547619,,,,,,,,,,,,,,,513.3955519,-0.670967937,17,6.7,12.95,19.2,5.8,37,0,0,98,51,78.7,507,1054,0.64,161,18,42864,5455,,,,,2016,5.7,21.3,15.6,9.989285714,1375.857143
36,5/11/2020,7.470214844,56.184689,1.466,1.203,0.535,522.9500122,525.1099854,515.5300293,520.3300171,520.3300171,110573400,,,,,,514.299998,-0.661645591,17,2.7,6.8,10.9,10.4,67,0.7,0.2,87,39,71.3,498,1118,0.66,196,16,43060,5471,,,,,2090,5.683333333,21.33333333,15.65,9.646428571,1339.571429
37,5/12/2020,7.302568218,55.22961203,1.468,1.199,0.537,517.7700195,523.6400146,517.3800049,520.4400024,520.4400024,139613300,,,,,,514.3522237,-0.668937922,13,0,6.3,12.6,4.2,27,0.9,0.5,93,50,71.3,463,1110,0.66,227,54,43287,5525,,,,,1263,5.65,21.35,15.7,9.464285714,1306.785714
